Player,Team,Position,generated_vp,games_total,games_2026,uncertainty
t3xture,Gen.G,D,14.5,68,4,
jawgemo,G2 Esports,D,14.5,62,12,
Marteen,Gentle Mates,D,14.5,47,9,
Alfajer,FNATIC,S,14.0,69,7,
Dambi,Nongshim RedForce,D,14.0,27,8,
leaf,G2 Esports,S,14.0,76,12,
Keiko,NRG Esports,C,14.0,61,13,
Kaajak,FNATIC,D,14.0,41,7,
aspas,MIBR,D,13.5,63,5,
mada,NRG Esports,D,13.5,38,13,
f0rsaken,Paper Rex,C,13.5,80,15,
Zekken,MIBR,C,13.5,67,5,
trent,G2 Esports,I,13.5,83,12,
Chronicle,Team Vitality,S,13.0,69,6,
skuba,NRG Esports,S,13.0,29,13,
Cryocells,100 Thieves,S,13.0,50,8,
valyn,G2 Esports,C,13.0,83,12,
Francis,Nongshim RedForce,D,12.5,27,8,
Ivy,Nongshim RedForce,S,12.5,27,8,
Karon,Gen.G,S,12.5,68,4,
BuZz,T1,D,12.0,65,9,
BABYBAY,G2 Esports,D,12.0,19,12,
Jinggg,Paper Rex,D,12.0,71,15,
Derke,Team Vitality,D,12.0,55,6,
d4v41,Paper Rex,S,12.0,80,15,
Demon1,ENVY,S,12.0,20,3,
Meteor,T1,S,12.0,80,9,
OXY,Cloud9,D,12.0,39,5,
iZu,T1,D,11.5,60,9,
JonahP,Sentinels,I,11.5,71,0,
Primmie,FULL SENSE,D,11.5,31,5,
HYUNMIN,DRX,D,11.5,37,6,
dgzin,Evil Geniuses,D,11.5,14,5,
something,Paper Rex,D,11.5,80,15,
Jemkin,Rex Regum Qeon,D,11.5,47,5,
Patmen,Global Esports,C,11.5,34,6,
nAts,Team Liquid,S,11.5,59,11,
Minny,Gentle Mates,S,11.5,23,9,
LewN,Karmine Corp,D,11.5,26,4,
Free1ng,DRX,S,11.0,37,6,
Ruxic,Natus Vincere,C,11.0,24,5,
MaKo,DRX,C,11.0,61,6,
PROFEK,Team Vitality,C,11.0,28,6,
Meiy,Detonation FocusMe,D,11.0,34,7,
Avez,Karmine Corp,I,11.0,19,4,
brawk,NRG Esports,I,10.5,35,13,
Crashies,FNATIC,I,10.5,54,7,
hiro,Natus Vincere,S,10.5,38,5,
Xross,Nongshim RedForce,I,10.5,8,8,
benjyfishy,Team Heretics,S,10.5,73,6,
Less,KRU Esports,S,10.5,40,0,
Wo0t,Team Heretics,I,10.5,64,6,
Rb,Nongshim RedForce,C,10.5,16,8,
JohnQT,Sentinels,C,10.5,66,4,
bang,100 Thieves,C,10.5,62,8,
Munchkin,T1,C,10.5,73,9,
starxo,Gentle Mates,I,10.5,24,9,
Miniboo,Team Liquid,D,10.5,69,11,
Sato,LEVIATAN,D,10.5,13,5,
kingg,LEVIATAN,C,10.0,51,5,
Stax,T1,I,10.0,55,9,
Udotan,Global Esports,S,10.0,19,6,
Ash,Gen.G,C,10.0,24,4,
v1c,Cloud9,C,10.0,26,7,
xeus,FUT Esports,D,9.5,20,3,
ethan,NRG Esports,I,9.5,51,13,
Lar0k,BBL Esports,D,9.5,7,7,
kamo,Team Liquid,D,9.5,60,11,
Yetujey,FUT Esports,S,9.5,46,3,
Lukxo,LOUD,S,9.5,11,3,
Xffero,Rex Regum Qeon,S,9.5,47,5,
RieNs,Team Heretics,I,9.5,73,6,
SUYGETSU,Karmine Corp,S,9.5,34,4,
Veqaj,FNATIC,C,9.5,12,7,
Dos9,Karmine Corp,C,9.5,18,4,
N4RRATE,Karmine Corp,I,9.5,58,4,
Reduxx,Sentinels,D,9.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Timotino,100 Thieves,D,9.0,8,8,
eeiu,FURIA,I,9.0,48,6,
Killua,FULL SENSE,I,9.0,22,5,
Bao,Evil Geniuses,S,9.0,5,5,
Cortezia,Sentinels,S,9.0,32,4,
invy,Paper Rex,I,9.0,44,15,
Monyet,Rex Regum Qeon,C,9.0,49,5,
xavi8k,Global Esports,C,9.0,6,6,
Lovers rock,BBL Esports,D,9.0,7,7,
wayne,Team Liquid,C,9.0,10,10,
GLYPH,Gentle Mates,C,9.0,9,9,
koalanoob,FURIA,D,9.0,16,6,
Vora,100 Thieves,I,9.0,8,8,
BeYN,DRX,I,9.0,50,6,
supamen,Evil Geniuses,C,8.5,34,5,
bipo,Gentle Mates,D,8.5,9,9,
Keznit,ENVY,D,8.5,44,5,
Neon,LEVIATAN,D,8.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Comeback,Team Heretics,D,8.5,11,6,
Sayonara,Team Vitality,I,8.5,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Tex,MIBR,S,8.5,51,5,
Zellsis,Cloud9,S,8.5,69,7,
Jamppi,Team Vitality,I,8.5,42,6,
caedye,Detonation FocusMe,S,8.5,7,7,
Verno,MIBR,I,8.5,30,5,
Autumn,Global Esports,D,8.5,6,6,
Loita,BBL Esports,C,8.5,7,7,
Jerrwin,Sentinels,D,8.5,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Xeppaa,Cloud9,I,8.5,41,7,
Kushy,Rex Regum Qeon,I,8.5,34,5,
Krostaly,FUT Esports,I,8.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Rosé,BBL Esports,I,8.5,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Crewen,BBL Esports,S,8.0,7,7,
Spike,LEVIATAN,S,8.0,10,5,
Asuna,100 Thieves,I,8.0,50,8,
BerserX,Team Secret,S,8.0,17,3,
purp0,Team Liquid,I,8.0,28,11,
Mazino,MIBR,C,8.0,53,5,
Eggsterr,ENVY,D,8.0,5,5,
Boo,Team Heretics,C,8.0,73,6,
MrFalin,FUT Esports,C,8.0,46,3,
Penny,Cloud9,D,8.0,12,7,
ara,GIANTX,D,8.0,23,5,
ZynX,Gen.G,D,8.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Okeanos,Evil Geniuses,D,8.0,13,5,
Jitboys,FULL SENSE,S,7.5,45,5,
Westside,GIANTX,S,7.5,29,5,
Akame,Detonation FocusMe,I,7.5,22,7,
Hermes,DRX,I,7.5,6,6,
Flickless,GIANTX,I,7.5,23,5,
P0PPIN,ENVY,I,7.5,5,5,
al0rante,PCIFIC Esports,S,7.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
nerve,FURIA,S,7.5,6,6,
Grubinho,GIANTX,C,7.5,43,5,
Yatsuka,Detonation FocusMe,D,7.5,7,7,
cNed,PCIFIC Esports,D,7.5,34,3,
Leviathan,FULL SENSE,C,7.5,5,5,
Rossy,ENVY,C,7.5,27,5,
artzin,FURIA,C,7.5,49,6,
SugarZ3ro,ZETA DIVISION,C,7.0,31,4,
audaz,Eternal Fire,C,7.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Alym,FURIA,D,7.0,6,6,
cloud,GIANTX,I,7.0,41,5,
Jessievash,Team Secret,I,7.0,28,3,
seven,PCIFIC Esports,I,7.0,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
blowz,LEVIATAN,I,7.0,5,5,
XuNa,VARREL,I,7.0,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Kr1stal,Global Esports,I,7.0,19,6,
Chloric,Natus Vincere,I,7.0,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Lakia,Gen.G,I,7.0,43,4,
qRaxs,FUT Esports,I,7.0,43,0,
Boaster,FNATIC,C,7.0,70,7,
Erde,LOUD,C,6.5,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Darker,LOUD,I,6.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
ExiT,Natus Vincere,D,6.5,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Zexy,VARREL,D,6.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
cauanzin,LOUD,I,6.5,37,3,
nekky,Eternal Fire,I,6.5,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Saadhak,KRU Esports,C,6.0,35,0,
eko,ZETA DIVISION,D,6.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Filu,Natus Vincere,D,6.0,17,5,
oonzmlp,VARREL,C,6.0,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
C0M,Evil Geniuses,I,6.0,51,5,
NINJA,PCIFIC Esports,I,6.0,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Crws,FULL SENSE,C,6.0,40,0,
DanteDeu5,KRU Esports,D,6.0,6,0,HIGH UNCERTAINTY
Absol,ZETA DIVISION,D,6.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Favian,Eternal Fire,D,6.0,4,4,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Sylvan,Team Secret,C,6.0,19,3,
qpert,PCIFIC Esports,C,5.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Xdll,ZETA DIVISION,I,5.5,16,4,
C1ndeR,VARREL,C,5.5,3,3,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
Rimuru/Zeus,Team Secret,D,5.5,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
SyouTa,ZETA DIVISION,S,5.0,11,4,
Klaus,VARREL,S,5.0,14,3,
echo,Eternal Fire,S,5.0,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
mwzera,KRU Esports,I,5.0,14,0,
virtyy,LOUD,D,5.0,8,3,
Izzy,Eternal Fire,D,5.0,0,0,HIGH UNCERTAINTY - MANUAL REVIEW NEEDED
kellyS,Team Secret,D,5.0,16,3,
silentzz,KRU Esports,C,5.0,12,0,
crazyguy,Rex Regum Qeon,C,5.0,36,5,
SSeeS,Detonation FocusMe,C,5.0,25,7,
